source_table;source_row_id;loco_no;transport_number;actual_departure_ts;actual_arrival_ts;match_reason;catalog_source
raw_locomotivemovement;9546;00000000000-0;452545;2026-05-11 10:00:00;2026-05-11 13:00:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;9547;00000000000-0;452545;2026-05-11 13:00:00;2026-05-11 20:00:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;19424;00000000000-0;452199;2026-05-20 10:15:00;2026-05-20 11:50:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;19425;00000000000-0;452199;2026-05-20 11:59:00;2026-05-20 15:41:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;20636;00000000000-0;456286;2026-05-20 15:38:00;2026-05-20 18:30:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;19426;00000000000-0;452199;2026-05-20 15:44:00;2026-05-20 17:37:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;19422;00000000000-0;452199;2026-05-20 17:45:00;2026-05-20 18:07:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;20637;00000000000-0;456286;2026-05-20 18:30:00;2026-05-20 23:48:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;19423;00000000000-0;452199;2026-05-21 12:23:00;2026-05-21 12:42:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;19421;00000000000-0;452199;2026-05-21 12:48:00;2026-05-21 14:16:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;11504;00000000000-0;456784;2026-05-26 10:36:00;2026-05-26 11:42:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;19850;00000000000-0;452203;2026-05-26 18:54:00;2026-05-26 21:59:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;19851;00000000000-0;452203;2026-05-27 09:08:00;2026-05-28 10:23:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;12660;00000000000-0;452207;2026-05-28 06:27:00;2026-05-28 11:38:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;4899;00000000000-0;453529;2026-06-01 22:05:00;2026-06-02 07:30:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;14690;00000000000-0;453519;2026-06-02 01:41:00;2026-06-02 07:41:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;2829;00000000000-0;453547;2026-06-04 01:11:00;2026-06-04 05:01:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;20662;00000000000-0;457568;2026-06-04 01:44:00;2026-06-04 02:06:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;20663;00000000000-0;457568;2026-06-04 02:06:00;2026-06-04 05:52:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;2830;00000000000-0;453547;2026-06-04 05:01:00;2026-06-04 05:16:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;19697;00000000000-0;453524;2026-06-04 11:27:00;2026-06-04 17:27:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;17899;00000000000-0;453527;2026-06-04 16:45:00;2026-06-05 00:30:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;20349;00000000000-0;452209;2026-06-04 22:00:00;2026-06-05 03:00:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;3024;00000000000-0;453541;2026-06-05 20:46:00;2026-06-06 06:55:00;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;data/01_mapping/dummy_locomotives.csv | raw_locomotivemovement.LocomotiveType
