source_table;loco_no;match_reason;affected_rows;affected_transports;first_seen_utc;last_seen_utc
raw_locomotivemovement;00000000015-8;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;2;2;2026-05-28 13:20:00;2026-05-28 14:05:00
raw_locomotivemovement;91560383999-3;LocomotiveType enthaelt Dummy: Dummy SK/CZ;18;11;2026-05-13 05:30:00;2026-06-03 23:57:00
raw_locomotivemovement;91850000003-2;Bekannte Planungs-/Dummy-Loknummer;12;3;2026-05-13 10:41:00;2026-05-31 15:12:00
raw_locomotivemovement;00000000013-3;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;8;5;2026-05-10 14:20:00;2026-06-07 19:02:00
raw_locomotivemovement;92561740778-6;LocomotiveType enthaelt Dummy: Dummy SK/CZ;14;3;2026-05-15 20:30:00;2026-06-05 09:57:00
raw_locomotivemovement;91806189000-3;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;20;3;2026-06-06 01:02:00;2026-06-08 15:00:00
raw_locomotivemovement;91806185606-1;LocomotiveType enthaelt Dummy: Dummy;2;1;2026-05-29 06:45:00;2026-05-29 11:33:00
raw_locomotivemovement;91850000002-4;Bekannte Planungs-/Dummy-Loknummer;82;8;2026-05-14 20:00:00;2026-06-06 14:43:00
raw_locomotivemovement;91807193109-4;LocomotiveType enthaelt Dummy: Dummy;10;10;2026-05-13 02:19:00;2026-06-03 23:13:00
raw_locomotivemovement;95710601054-0;LocomotiveType enthaelt Dummy: Dummy;18;7;2026-05-13 21:05:00;2026-06-03 12:22:00
raw_locomotivemovement;91806193951-1;LocomotiveType enthaelt Dummy: Dummy;107;30;2026-05-11 09:10:00;2026-06-08 16:02:00
raw_locomotivemovement;95571061094-5;LocomotiveType enthaelt Dummy: Dummy;41;2;2026-05-17 20:33:00;2026-06-03 08:00:00
raw_locomotivemovement;00000000001-8;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;5;5;2026-05-25 10:16:00;2026-06-04 12:02:00
raw_locomotivemovement;91806999002-9;LocomotiveType enthaelt Dummy: Dummy;25;21;2026-05-11 14:56:00;2026-06-08 12:57:00
raw_locomotivemovement;91807193110-2;LocomotiveType enthaelt Dummy: Dummy;81;42;2026-05-11 17:38:00;2026-06-08 20:18:00
raw_locomotivemovement;91850000004-0;Bekannte Planungs-/Dummy-Loknummer;8;3;2026-05-17 12:43:00;2026-05-30 12:46:00
raw_locomotivemovement;00000000000-0;Bekannte Planungs-/Dummy-Loknummer | LocomotiveType enthaelt Dummy: Dummy;25;14;2026-05-11 10:00:00;2026-06-06 20:00:00
raw_locomotivemovement;91806193000-7;LocomotiveType enthaelt Dummy: Dummy;34;4;2026-05-20 00:45:00;2026-06-02 15:09:00
