run_id;loco_no;transport_number;next_transport_number;location_name;stand_from_utc;stand_to_utc;stand_duration_minutes;performing_ru;report_scope;next_report_scope;stand_class;suggested_action;source_table;source_row_id
RUN_20260609_142008;91806193375-3;451367;453089;Wanne-Eickel Hbf;2026-05-13 00:05:00;2026-05-30 03:30:00;24685;LTE DE - LTE Germany GmbH;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;3554
RUN_20260609_142008;91547383015-5;449985;450626;Lehrte MegaHub;2026-05-11 02:33:00;2026-05-27 06:15:00;23262;LTE NL - LTE Netherlands B.V.;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;20452
RUN_20260609_142008;90802159256-7;456606;456607;Passau Gbf;2026-05-27 14:30:00;2026-06-07 14:50:00;15860;RTB CARGO GmbH;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;4250
RUN_20260609_142008;91547383022-1;450532;454449;Lehrte MegaHub;2026-05-23 21:50:00;2026-06-02 19:00:00;14230;LTE NL - LTE Netherlands B.V.;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;4324
RUN_20260609_142008;91806193944-6;457120;457123;Kirchweyhe;2026-05-25 16:20:00;2026-06-02 18:32:00;11652;LTE NL - LTE Netherlands B.V.;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;12272
RUN_20260609_142008;91807193657-2;456252;456407;Aachen West;2026-05-21 03:00:00;2026-05-28 16:26:00;10886;LTE DE - LTE Germany GmbH;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;5910
RUN_20260609_142008;91806193797-8;450488;450701;Viersen Gbf;2026-05-22 02:10:00;2026-05-29 08:50:00;10480;LTE NL - LTE Netherlands B.V.;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;18920
RUN_20260609_142008;91806192999-1;453746;456485;Osnabrück Hbf;2026-05-30 03:53:00;2026-06-06 10:00:00;10447;LTE DE - LTE Germany GmbH;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;21032
RUN_20260609_142008;91806185309-2;456875;456875;Passau Gbf;2026-05-30 15:56:00;2026-06-06 16:42:00;10126;LTE DE - LTE Germany GmbH;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;10076
RUN_20260609_142008;91854446017-6;451203;455844;Basel Bad Rbf;2026-05-13 15:43:00;2026-05-20 11:32:00;9829;LTE CH - LTE Schweiz GmbH;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;14116
RUN_20260609_142008;91806193803-4;453589;453590;Duisburg-Ruhrort Hafen;2026-05-12 22:52:00;2026-05-19 18:30:00;9818;LTE DE - LTE Germany GmbH;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;18876
RUN_20260609_142008;91806185294-6;455301;457793;Aachen West;2026-05-27 12:42:00;2026-06-03 03:17:00;9515;LTE DE - LTE Germany GmbH;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;12528
RUN_20260609_142008;91806185591-5;453466;456387;Nürnberg Rbf;2026-05-15 00:06:00;2026-05-21 08:00:00;9114;LTE DE - LTE Germany GmbH;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;4216
RUN_20260609_142008;91806193352-2;453473;455306;Aachen West;2026-05-17 21:00:00;2026-05-23 22:47:00;8747;LTE DE - LTE Germany GmbH;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;2631
RUN_20260609_142008;91806193377-9;453469;455307;Aachen West;2026-05-15 22:30:00;2026-05-21 22:29:00;8639;LTE DE - LTE Germany GmbH;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;13003
RUN_20260609_142008;91806185309-2;453488;453484;Wanne-Eickel Hbf;2026-05-14 09:15:00;2026-05-20 05:30:00;8415;LTE DE - LTE Germany GmbH;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;17667
RUN_20260609_142008;91806185680-6;457144;457145;Nürnberg Rbf;2026-05-31 02:48:00;2026-06-04 15:30:00;6522;LTE DE - LTE Germany GmbH;IN_REPORT;IN_REPORT;POTENTIAL_COLD_STAND;Standzeit ueber 8 Stunden am selben Ort. Fachlich als moegliche kalte Abstellung pruefen.;raw_locomotivemovement;14511
