run_id;severity;rule_id;rule_group;loco_no;transport_number;performing_ru;row_type;movement_sequence_no;period_start_utc;period_end_utc;message;suggested_action;status;source_table;source_row_id;overlap_with_transport_number
RUN_20260609_142008;ERROR;R001;TIMELINE;91806193854-7;457938;Rail & Sea Traction GmbH;MOVEMENT;117;2026-06-05 10:55:00;;Sequence-Zeitanker fehlt.;CleanDir/FaultyDir sowie ActualDeparture/ActualArrival prüfen.;open;raw_locomotivemovement;12666;
RUN_20260609_142008;MANUAL_REVIEW;R003;TIME_QUALITY;91806193386-0;449043;LTE DE - LTE Germany GmbH;MOVEMENT;86;2026-06-07 21:30:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;8070;
RUN_20260609_142008;MANUAL_REVIEW;R003;TIME_QUALITY;91806193627-7;458625;LTE DE - LTE Germany GmbH;MOVEMENT;106;2026-06-08 10:00:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;7543;
RUN_20260609_142008;INFO;R003;TIME_QUALITY;91806193962-8;454708;LTE NL - LTE Netherlands B.V.;MOVEMENT;105;2026-06-08 20:53:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;20104;
RUN_20260609_142008;MANUAL_REVIEW;R003;TIME_QUALITY;91806193050-2;454076;MEDWAY BELGIUM nv;MOVEMENT;14;2026-05-21 18:55:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;13618;
RUN_20260609_142008;INFO;R003;TIME_QUALITY;91806193427-2;454565;LTE NL - LTE Netherlands B.V.;MOVEMENT;176;2026-06-08 20:10:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;15668;
RUN_20260609_142008;INFO;R003;TIME_QUALITY;91854475435-4;454562;LTE NL - LTE Netherlands B.V.;MOVEMENT;18;2026-06-08 21:25:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;2289;
RUN_20260609_142008;MANUAL_REVIEW;R003;TIME_QUALITY;91806185309-2;457706;LTE DE - LTE Germany GmbH;MOVEMENT;108;2026-06-08 07:39:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;17033;
RUN_20260609_142008;MANUAL_REVIEW;R003;TIME_QUALITY;91807193212-6;453541;LTE DE - LTE Germany GmbH;MOVEMENT;172;2026-06-08 02:30:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;3041;
RUN_20260609_142008;MANUAL_REVIEW;R003;TIME_QUALITY;90802159256-7;457678;RTB CARGO GmbH;MOVEMENT;28;2026-06-08 06:35:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;5901;
RUN_20260609_142008;MANUAL_REVIEW;R003;TIME_QUALITY;91806193957-8;457938;Rail & Sea Traction GmbH;MOVEMENT;91;2026-06-05 10:55:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;12665;
RUN_20260609_142008;MANUAL_REVIEW;R003;TIME_QUALITY;90802159259-1;457681;LTE DE - LTE Germany GmbH;MOVEMENT;465;2026-06-08 13:16:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;606;
RUN_20260609_142008;INFO;R003;TIME_QUALITY;90802159259-1;457908;LTE DE - LTE Germany GmbH;MOVEMENT;470;2026-06-08 18:44:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;5286;
RUN_20260609_142008;MANUAL_REVIEW;R003;TIME_QUALITY;91806193854-7;457938;Rail & Sea Traction GmbH;MOVEMENT;117;2026-06-05 10:55:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;12666;
RUN_20260609_142008;MANUAL_REVIEW;R003;TIME_QUALITY;91806193563-4;457777;LTE DE - LTE Germany GmbH;MOVEMENT;21;2026-06-05 18:30:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;6618;
RUN_20260609_142008;MANUAL_REVIEW;R003;TIME_QUALITY;90802019402-7;457905;LTE DE - LTE Germany GmbH;MOVEMENT;182;2026-06-02 08:15:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;13379;
RUN_20260609_142008;INFO;R003;TIME_QUALITY;91806185680-6;456511;LTE DE - LTE Germany GmbH;MOVEMENT;184;2026-06-08 20:15:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;10541;
RUN_20260609_142008;INFO;R003;TIME_QUALITY;91806193260-7;454573;LTE NL - LTE Netherlands B.V.;MOVEMENT;209;2026-06-08 20:32:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;12857;
RUN_20260609_142008;INFO;R003;TIME_QUALITY;91806193829-9;450938;LTE NL - LTE Netherlands B.V.;MOVEMENT;179;2026-06-08 20:23:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;10763;
RUN_20260609_142008;INFO;R003;TIME_QUALITY;91806185352-2;456884;LTE DE - LTE Germany GmbH;MOVEMENT;26;2026-06-08 18:49:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;14670;
RUN_20260609_142008;INFO;R003;TIME_QUALITY;91806193280-5;454553;LTE NL - LTE Netherlands B.V.;MOVEMENT;261;2026-06-08 15:39:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;18621;
RUN_20260609_142008;INFO;R003;TIME_QUALITY;91806193868-7;457805;LTE DE - LTE Germany GmbH;MOVEMENT;197;2026-06-08 17:30:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;18771;
RUN_20260609_142008;ERROR;R004;TIME_QUALITY;91806193829-9;450466;LTE NL - LTE Netherlands B.V.;MOVEMENT;76;2026-05-20 02:34:00;2026-05-20 02:00:00;ActualDeparture liegt nach ActualArrival.;Zeitintervall fachlich korrigieren.;open;raw_locomotivemovement;19336;
