transport_number;cal_start_country;cal_end_country;cal_entry_count_home;cal_exit_count_home;cal_route_type_home
450508;PL;NL;1;1;Passiert (Transit)
451891;PL;DE;1;0;Einfahrt
452393;DE;SK;0;0;Kein Bezug
454325;DE;CH;0;0;Kein Bezug
455189;NL;NL;0;0;Kein Bezug
455266;BG;BG;0;0;Kein Bezug
456068;HU;HU;0;0;Kein Bezug
457039;NL;NL;0;0;Kein Bezug
457195;NL;NL;0;0;Kein Bezug
457708;DE;DE;0;0;Inland
449886;NL;DE;0;0;Kein Bezug
450413;DE;NL;0;0;Kein Bezug
451766;NL;CH;0;0;Kein Bezug
453590;DE;DE;0;0;Inland
455707;NL;NL;0;0;Kein Bezug
455987;DE;DE;0;0;Inland
456138;HU;HU;0;0;Kein Bezug
456386;HU;RO;0;0;Kein Bezug
456440;IT;IT;0;0;Kein Bezug
456521;IT;IT;0;0;Kein Bezug
456610;TR;BG;0;0;Kein Bezug
456651;AT;SI;0;0;Kein Bezug
458336;NL;NL;0;0;Kein Bezug
458518;AT;AT;0;0;Kein Bezug
458946;NL;NL;0;0;Kein Bezug
450232;NL;PL;1;1;Passiert (Transit)
451176;DE;PL;0;0;Kein Bezug
451290;SI;SI;0;0;Kein Bezug
451504;DE;NL;0;1;Ausfahrt
452973;IT;IT;0;0;Kein Bezug
454413;CH;NL;0;1;Komplex (mehrfach/Schleife)
454936;TR;RS;0;0;Kein Bezug
456025;NL;NL;0;0;Kein Bezug
456188;NL;NL;0;0;Kein Bezug
456658;AT;SI;0;0;Kein Bezug
457038;PL;PL;0;0;Kein Bezug
457313;CZ;CZ;0;0;Kein Bezug
457595;DE;DE;0;0;Inland
457755;AT;HU;0;0;Kein Bezug
459000;RO;HU;0;0;Kein Bezug
449612;DE;DE;0;0;Inland
449727;DE;HU;0;0;Kein Bezug
450150;DE;NL;0;0;Kein Bezug
450691;NL;NL;0;0;Kein Bezug
451688;CH;CH;0;0;Kein Bezug
452936;PL;NL;1;1;Passiert (Transit)
453691;DE;PL;0;0;Kein Bezug
454757;NL;NL;0;0;Kein Bezug
454905;NL;NL;0;0;Kein Bezug
455702;NL;NL;0;0;Kein Bezug
456783;NL;NL;0;0;Kein Bezug
457212;AT;AT;0;0;Kein Bezug
459221;NL;NL;0;0;Kein Bezug
450645;NL;PL;1;1;Passiert (Transit)
451809;CH;CH;0;0;Kein Bezug
453478;DE;HU;0;0;Kein Bezug
453808;IT;IT;0;0;Kein Bezug
454157;CH;CH;0;0;Kein Bezug
454252;NL;NL;0;0;Kein Bezug
454780;DE;DE;0;0;Inland
455010;RO;RO;0;0;Kein Bezug
455818;PL;PL;0;0;Kein Bezug
455988;DE;DE;0;0;Inland
456182;NL;NL;0;0;Kein Bezug
456567;NL;NL;0;0;Kein Bezug
457311;NL;NL;0;0;Kein Bezug
457874;AT;SI;0;0;Kein Bezug
458352;CZ;CZ;0;0;Kein Bezug
458483;NL;NL;0;0;Kein Bezug
459006;NL;NL;0;0;Kein Bezug
449635;IT;HU;0;0;Kein Bezug
449880;NL;NL;0;0;Kein Bezug
450552;NL;PL;1;1;Passiert (Transit)
