run_id;loco_no;transport_number;train_no;performing_ru;holder_name;period_start_utc;period_end_utc;coverage_date;gate_status;exclusion_reason;source_table;source_row_id
RUN_20260607_181025;90802019402-7;457877;60353;LTE DE - LTE Germany GmbH;Alpha Trains Luxembourg S.à r.l.;2026-06-06 03:46:00;2026-06-06 05:32:00;2026-06-06;BLOCKED;Movement export_ready=false | Overlap-Minuten=60 | Nicht exportfähige Movements=8 | Globaler Export-Blocker am Tag vorhanden;raw_locomotivemovement;9831
RUN_20260607_181025;90802019402-7;457877;Pause oder PW;LTE DE - LTE Germany GmbH;Alpha Trains Luxembourg S.à r.l.;2026-06-06 03:46:00;2026-06-06 03:46:00;2026-06-06;BLOCKED;Movement export_ready=false | Overlap-Minuten=60 | Nicht exportfähige Movements=8 | Globaler Export-Blocker am Tag vorhanden;raw_locomotivemovement;9830
RUN_20260607_181025;90802019402-7;457877;Traktionswechsel E auf D;LTE DE - LTE Germany GmbH;Alpha Trains Luxembourg S.à r.l.;2026-06-06 05:32:00;2026-06-06 05:39:00;2026-06-06;BLOCKED;Movement export_ready=false | Overlap-Minuten=60 | Nicht exportfähige Movements=8 | Globaler Export-Blocker am Tag vorhanden;raw_locomotivemovement;9832
RUN_20260607_181025;90802019402-7;457877;60353;LTE DE - LTE Germany GmbH;Alpha Trains Luxembourg S.à r.l.;2026-06-06 05:39:00;2026-06-06 06:25:00;2026-06-06;BLOCKED;Movement export_ready=false | Overlap-Minuten=60 | Nicht exportfähige Movements=8 | Globaler Export-Blocker am Tag vorhanden;raw_locomotivemovement;9833
RUN_20260607_181025;90802019402-7;457877;Übergabe an DBC;LTE DE - LTE Germany GmbH;Alpha Trains Luxembourg S.à r.l.;2026-06-06 06:25:00;2026-06-06 06:35:00;2026-06-06;BLOCKED;Movement export_ready=false | Overlap-Minuten=60 | Nicht exportfähige Movements=8 | Globaler Export-Blocker am Tag vorhanden;raw_locomotivemovement;9834
RUN_20260607_181025;90802019402-7;457893;52954;LTE DE - LTE Germany GmbH;Alpha Trains Luxembourg S.à r.l.;2026-06-06 07:00:00;2026-06-06 08:15:00;2026-06-06;BLOCKED;Movement export_ready=false | Overlap-Minuten=60 | Nicht exportfähige Movements=8 | Globaler Export-Blocker am Tag vorhanden;raw_locomotivemovement;11462
RUN_20260607_181025;90802019402-7;457893;Tanken;LTE DE - LTE Germany GmbH;Alpha Trains Luxembourg S.à r.l.;2026-06-06 08:15:00;2026-06-06 08:59:00;2026-06-06;BLOCKED;Movement export_ready=false | Overlap-Minuten=60 | Nicht exportfähige Movements=8 | Globaler Export-Blocker am Tag vorhanden;raw_locomotivemovement;11463
RUN_20260607_181025;90802019402-7;457893;63677;LTE DE - LTE Germany GmbH;Alpha Trains Luxembourg S.à r.l.;2026-06-06 08:59:00;2026-06-06 09:24:00;2026-06-06;BLOCKED;Movement export_ready=false | Overlap-Minuten=60 | Nicht exportfähige Movements=8 | Globaler Export-Blocker am Tag vorhanden;raw_locomotivemovement;11464
RUN_20260607_181025;90802159259-1;457895;60351;LTE DE - LTE Germany GmbH;European Loc Pool;2026-06-06 03:42:00;2026-06-06 05:01:00;2026-06-06;BLOCKED;Movement export_ready=false | ERROR-Findings=1 | Overlap-Minuten=45 | Nicht exportfähige Movements=6 | Globaler Export-Blocker am Tag vorhanden;raw_locomotivemovement;1474
RUN_20260607_181025;90802159259-1;457895;Pause oder PW;LTE DE - LTE Germany GmbH;European Loc Pool;2026-06-06 03:42:00;2026-06-06 03:42:00;2026-06-06;BLOCKED;Movement export_ready=false | ERROR-Findings=1 | Overlap-Minuten=45 | Nicht exportfähige Movements=6 | Globaler Export-Blocker am Tag vorhanden;raw_locomotivemovement;1473
