loco_no;reason;active_flag
91850000002-4;Bekannte Planungs-/Dummy-Loknummer;Y
00000000011-7;Bekannte Planungs-/Dummy-Loknummer;Y
00000000000-0;Bekannte Planungs-/Dummy-Loknummer;Y
00000000003-4;Bekannte Planungs-/Dummy-Loknummer;Y
00000000013-3;Bekannte Planungs-/Dummy-Loknummer;Y
00000000010-9;Bekannte Planungs-/Dummy-Loknummer;Y
00000000008-3;Bekannte Planungs-/Dummy-Loknummer;Y
00000000015-8;Bekannte Planungs-/Dummy-Loknummer;Y
00000000004-2;Bekannte Planungs-/Dummy-Loknummer;Y
00000000009-1;Bekannte Planungs-/Dummy-Loknummer;Y
00000000005-9;Bekannte Planungs-/Dummy-Loknummer;Y
00000000006-7;Bekannte Planungs-/Dummy-Loknummer;Y
00000000007-5;Bekannte Planungs-/Dummy-Loknummer;Y
91850000007-3;Bekannte Planungs-/Dummy-Loknummer;Y
91850000008-1;Bekannte Planungs-/Dummy-Loknummer;Y
91850000003-2;Bekannte Planungs-/Dummy-Loknummer;Y
91850000004-0;Bekannte Planungs-/Dummy-Loknummer;Y
91850000001-6;Bekannte Planungs-/Dummy-Loknummer;Y
00000000002-6;Bekannte Planungs-/Dummy-Loknummer;Y
00000000014-1;Bekannte Planungs-/Dummy-Loknummer;Y
00000000001-8;Bekannte Planungs-/Dummy-Loknummer;Y
91806189000-3;Bekannte Planungs-/Dummy-Loknummer;Y
