source_system;source_field;source_value;role_code;official_company_name;market_partner_id;active_flag;match_method;match_score;manual_review;comment
RailCube/DataLake;Company name;Die Länderbahn GmbH DLB;ANU_VENS;Die Länderbahn GmbH DLB;1900100300012;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;ITL Eisenbahngesellschaft mbH;ANU_VENS;ITL-Eisenbahngesellschaft mbH;1900100300020;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Cantus Verkehrsgesellschaft mbH;ANU_VENS;cantus Verkehrsgesellschaft mbH;1900100300038;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;boxXPress.de GmbH;ANU_VENS;boxXpress.de GmbH;1900100300046;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Beacon Rail Capital Europe GmbH;ANU_VENS;Beacon Rail Capital Europe GmbH;1900100300054;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Railpool Gmbh;ANU_VENS;Railpool GmbH;1900100300062;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Rail4Captrain GmbH;ANU_VENS;Rail4Captrain GmbH;1900100300070;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Eurobahn GmbH & Co. KG;ANU_VENS;eurobahn GmbH & Co. KG;1900100300088;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Regiobahn Bitterfeld Berlin GmbH;ANU_VENS;Regiobahn Bitterfeld Berlin GmbH;1900100300096;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Captrain Deutschland CargoWest GmbH;ANU_VENS;Captrain Deutschland CargoWest GmbH;1900100300103;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;RheinCargo GmbH & Co. KG;ANU_VENS;RheinCargo GmbH & Co. KG;1900100300111;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;CFL Cargo Deutschland GmbH;ANU_VENS;CFL Cargo Deutschland GmbH;1900100300129;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;ODEG Ostdeutsche Eisenbahn GmbH;ANU_VENS;ODEG Ostdeutsche Eisenbahn GmbH;1900100300137;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Holzlogistik & Güterbahn GmbH;ANU_VENS;Holzlogistik & Güterbahn GmbH;1900100300145;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;VIAS Rail GmbH;ANU_VENS;VIAS GmbH;1900100300153;N;PROPOSED_LOW;78.3;Y;
RailCube/DataLake;Company name;Westfälische Landes-Eisenbahn GmbH;ANU_VENS;Westfälische Landes-Eisenbahn GmbH;1900100300161;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;CFL cargo S.A.;ANU_VENS;CFL Cargo S.A.;1900100300179;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;METRANS Rail (Deutschland) GmbH;ANU_VENS;METRANS Rail (Deutschland) GmbH;1900100300187;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Albtal-Verkehrs-Gesellschaft mbH;ANU_VENS;Albtal-Verkehrs-Gesellschaft mbH;1900100300195;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;ELL Germany GmbH;ANU_VENS;ELL Germany GmbH;1900100300202;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;metronom Eisenbahngesellschaft mbH;ANU_VENS;metronom Eisenbahngesellschaft mbH;1900100300210;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Niederrheinische Verkehrsbetriebe Aktiengesellschaft NIAG;ANU_VENS;Niederrheinische Verkehrsbetriebe AG;1900100300228;N;PROPOSED_LOW;100.0;Y;
RailCube/DataLake;Company name;NordWestBahn GmbH;ANU_VENS;Nord-Ostsee-Bahn GmbH;1900100300236;N;PROPOSED_LOW;78.9;Y;
RailCube/DataLake;Company name;NordWestBahn GmbH;ANU_VENS;NordWestBahn GmbH;1900100300244;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;LDS GmbH;ANU_VENS;SBB GmbH;1900100300252;N;PROPOSED_LOW;75.0;Y;
RailCube/DataLake;Company name;TransRegio Deutsche Regionalbahn GmbH;ANU_VENS;trans regio Deutsche Regionalbahn GmbH;1900100300260;N;PROPOSED_HIGH;98.7;Y;
RailCube/DataLake;Company name;Rail Cargo Carrier - Germany GmbH;ANU_VENS;Rail Cargo Carrier - Germany GmbH;1900100300278;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;SBB Cargo Deutschland GmbH;ANU_VENS;SBB Cargo Deutschland GmbH;1900100300286;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;D und D Eisenbahngesellschaft mbH;ANU_VENS;agilis Eisenbahngesellschaft mbH & Co. KG;1900100300294;N;PROPOSED_HIGH;96.7;Y;
RailCube/DataLake;Company name;Bayerische Oberlandbahn GmbH;ANU_VENS;Bayerische Oberlandbahn GmbH;1900100300301;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;BLS Cargo Nord NV;ANU_VENS;BLS Cargo Nord NV;1900100300319;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;HSL Logistik GmbH;ANU_VENS;HSL Logistik GmbH;1900100300327;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;NBE nordbahn Eisenbahngesellschaft mbH & Co. KG;ANU_VENS;NBE nordbahn Eisenbahngesellschaft mbH & Co. KG;1900100300335;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;WestfalenBahn GmbH;ANU_VENS;WestfalenBahn GmbH;1900100300343;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;AKIEM;ANU_VENS;Akiem S.A.S.;1900100300351;N;REVIEW_LEGAL_FORM_VARIANT;99.0;Y;
RailCube/DataLake;Company name;Havelländische Eisenbahn AG;ANU_VENS;Havelländische Eisenbahn AG;1900100300369;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Bahnbetrieb GERA;ANU_VENS;Regental Bahnbetriebs-GmbH;1900100300377;N;PROPOSED_MEDIUM;81.1;Y;
RailCube/DataLake;Company name;ArcelorMittal Eisenhüttenstadt Transport GmbH;ANU_VENS;ArcelorMittal Eisenhüttenstadt Transport GmbH;1900100300385;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;LTE Logistik- und Transport-GmbH (Holding);ANU_VENS;LTE Logistik- und Transport-GmbH;1900100300393;Y;AUTO_COSMETIC;100.0;N;
RailCube/DataLake;Company name;METRANS (Polonia) sp. z o. o.;ANU_VENS;Transchem Spolka z o.o.;1900100300400;N;PROPOSED_LOW;73.7;Y;
RailCube/DataLake;Company name;Verkehrsbetriebe Peine-Salzgitter GmbH;ANU_VENS;Verkehrsbetriebe Peine-Salzgitter GmbH;1900100300418;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;METRANS Rail s.r.o.;ANU_VENS;METRANS Rail s.r.o.;1900100300426;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Captrain Deutschland GmbH;ANU_VENS;Captrain Deutschland GmbH;1900100300434;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;SBB Cargo AG;ANU_VENS;SBB Cargo AG;1900100300442;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;TSS Cargo a.s.;ANU_VENS;TSS Cargo a.s.;1900100300450;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Stauden-Verkehrs-GmbH;ANU_VENS;Stauden-Verkehrs-GmbH;1900100300468;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;METRANS (CZ Praha) a.s.;ANU_VENS;METRANS a.s.;1900100300476;N;REVIEW_COSMETIC_MULTIPLE;100.0;Y;
RailCube/DataLake;Company name;SRI Rail Invest GmbH;ANU_VENS;SRI Rail Invest GmbH;1900100300484;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Mittelweserbahn GmbH;ANU_VENS;Mittelweserbahn GmbH;1900100300567;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Lok-Partner GmbH & Co.KG;ANU_VENS;Akiem Technik Germany GmbH & Co. KG;1900100300575;N;PROPOSED_LOW;70.0;Y;
RailCube/DataLake;Company name;LEG Leipziger Eisenbahnverkehrsgesellschaft mbH;ANU_VENS;LEG Leipziger Eisenbahnverkehrsgesellschaft mbH;1900100300583;Y;AUTO_EXACT;100.0;N;
RailCube/DataLake;Company name;Bertani Trasporti GmbH Deutschland;ANU_VENS;Alstom Transport Deutschland GmbH;1900100300591;N;PROPOSED_LOW;80.6;Y;
RailCube/DataLake;Company name;National Express Rail GmbH;ANU_VENS;National Express Rail GmbH;1900100300608;Y;AUTO_EXACT;100.0;N;
