"Um eine möglichst effiziente, automatisierte Verarbeitung der Prozesse zu gewährleisten, wird – soweit möglich – beim elektronischen Datenaustausch eine Identifizierung bestimmter Informationen durch Codes vorgenommen.
Zu diesem Zweck vergibt DB Energie im Auftrag des BDEW die MP-ID/Codenummer für die Anschlussnutzer sowie bei Bedarf den Dienstleistern der Nutzer. Darüber hinaus können Netzbetreiber, Lieferanten und BKV im Rahmen einer Interimslösung eine neben der BDEW-Codenummer zusätzliche MP-ID/Codenummer für die jeweilige Marktrolle bei DB Energie beantragen. Die unten aufgeführten MP-ID gelten ausschließlich im Bahnstromnetz.";
;
ANu-vEns (Nutzer) im Bahnstromnetz;
Unternehmensname;MP-ID/Codenummer im Bahnstromnetz
Die Länderbahn GmbH DLB;1900100300012
ITL-Eisenbahngesellschaft mbH;1900100300020
cantus Verkehrsgesellschaft mbH;1900100300038
boxXpress.de GmbH;1900100300046
Beacon Rail Capital Europe GmbH;1900100300054
Railpool GmbH;1900100300062
Rail4Captrain GmbH;1900100300070
eurobahn GmbH & Co. KG;1900100300088
Regiobahn Bitterfeld Berlin GmbH;1900100300096
Captrain Deutschland CargoWest GmbH;1900100300103
RheinCargo GmbH & Co. KG;1900100300111
CFL Cargo Deutschland GmbH;1900100300129
ODEG Ostdeutsche Eisenbahn GmbH;1900100300137
Holzlogistik & Güterbahn GmbH;1900100300145
VIAS GmbH;1900100300153
Westfälische Landes-Eisenbahn GmbH;1900100300161
CFL Cargo S.A.;1900100300179
METRANS Rail (Deutschland) GmbH;1900100300187
Albtal-Verkehrs-Gesellschaft mbH;1900100300195
ELL Germany GmbH;1900100300202
metronom Eisenbahngesellschaft mbH;1900100300210
Niederrheinische Verkehrsbetriebe AG;1900100300228
Nord-Ostsee-Bahn GmbH;1900100300236
NordWestBahn GmbH;1900100300244
SBB GmbH;1900100300252
trans regio Deutsche Regionalbahn GmbH;1900100300260
Rail Cargo Carrier - Germany GmbH;1900100300278
SBB Cargo Deutschland GmbH;1900100300286
agilis Eisenbahngesellschaft mbH & Co. KG;1900100300294
Bayerische Oberlandbahn GmbH;1900100300301
BLS Cargo Nord NV;1900100300319
HSL Logistik GmbH;1900100300327
NBE nordbahn Eisenbahngesellschaft mbH & Co. KG;1900100300335
WestfalenBahn GmbH;1900100300343
Akiem S.A.S.;1900100300351
Havelländische Eisenbahn AG;1900100300369
Regental Bahnbetriebs-GmbH;1900100300377
ArcelorMittal Eisenhüttenstadt Transport GmbH;1900100300385
LTE Logistik- und Transport-GmbH;1900100300393
Transchem Spolka z o.o.;1900100300400
Verkehrsbetriebe Peine-Salzgitter GmbH;1900100300418
METRANS Rail s.r.o.;1900100300426
Captrain Deutschland GmbH;1900100300434
SBB Cargo AG;1900100300442
TSS Cargo a.s.;1900100300450
Stauden-Verkehrs-GmbH;1900100300468
METRANS a.s.;1900100300476
SRI Rail Invest GmbH;1900100300484
Mittelweserbahn GmbH;1900100300567
Akiem Technik Germany GmbH & Co. KG;1900100300575
LEG Leipziger Eisenbahnverkehrsgesellschaft mbH;1900100300583
Alstom Transport Deutschland GmbH;1900100300591
National Express Rail GmbH;1900100300608
HLB Hessenbahn GmbH;1900100300616
EVB Elbe-Weser GmbH;1900100300632
Regionalbahn Kassel GmbH;1900100300640
RegioTram Gesellschaft mbH;1900100300658
TX Logistik AG;1900100300666
IGE GmbH & Co. KG;1900100300674
Emons Bahntransporte GmbH;1900100300690
Saarbahn GmbH;1900100300707
Abellio Rail Mitteldeutschland GmbH;1900100300715
Abellio Rail GmbH;1900100300723
TX Logistik Transalpine GmbH;1900100300731
Alpha Trains Luxembourg S.á.r.l.;1900100300749
Transdev Mitteldeutschland GmbH;1900100300822
Macquarie European Rail Limited;1900100300830
Hector Rail AB;1900100300848
Beacon Rail Leasing Limited;1900100300856
Transdev Regio GmbH;1900100300864
ÖBB-Produktion GmbH;1900100300872
LOKOMOTION Gesellschaft für Schienentraktion mbH;1900100300880
RAG Anthrazit Ibbenbüren GmbH;1900100300898
SVG Schienenverkehrsgesellschaft mbH;1900100300905
RTS Rail Transport Service GmbH;1900100300913
PKP CARGO S. A. w restrukturyzacji;1900100300921
Train4you Betriebs GmbH;1900100300939
ŠKODA TRANSPORTATION a.s.;1900100300947
Vorbereitungsgesellschaft Transporttechnik mbH;1900100300963
Intermodal Terminal Rzepin Sp. Z o.o.;1900100300971
Railtraxx NV;1900100300989
Rhenus Rail St. Ingbert GmbH;1900100300997
Mindener Kreisbahnen GmbH;1900100301002
UEF Eisenbahn-Verkehrsgesellschaft mbH;1900100301010
BTE BahnTouristikExpress GmbH;1900100301028
RailAdventure GmbH;1900100301036
Raildox GmbH & Co.KG;1900100301044
Erfurter Bahnservice Gesellschaft mbH;1900100301052
ELV - Eisenbahnlogistik Vienenburg;1900100301060
Eisenbahngesellschaft Potsdam mbH;1900100301078
ecco rail GmbH;1900100301086
CER Cargo Traction GmbH;1900100301094
Schweerbau Logistik GmbH;1900100301101
Maik Ampft Eisenbahndienstleistungen;1900100301127
Bayerischer Localbahn Verein e.V.;1900100301135
LINEAS NV/SA;1900100301143
Locon Logistik & Consulting AG;1900100301151
IGT - Inbetriebnahme Gesellschaft Transporttechnik GmbH;1900100301169
Saar Rail GmbH;1900100301177
Thurbo AG;1900100301185
Vulkan-Eifel-Bahn Betriebsgesellschaft mbH;1900100301193
Nordlandrail GmbH;1900100301200
Arbeitsgemeinschaft NostalgieZugReisen.de;1900100301218
DeltaRail GmbH;1900100301226
Georg Verkehrsorganisation GmbH;1900100301234
IntEgro Verkehr GmbH;1900100301242
Gesellschaft zur Erhaltung von Schienenfahrzeugen Stuttgart e.V.;1900100301250
Siemens AG;1900100301268
SETG - Salzburger Eisenbahn TransportLogistik GmbH;1900100301276
KombiRail Europe B.V.;1900100301284
SWEG Südwestdeutsche Landesverkehrs-GmbH;1900100301292
SNCFL Société Nationale des Chemins de Fer Luxembourgeois;1900100301309
e.g.o.o. Eisenbahngesellschaft Ostfriesland-Oldenburg mbH;1900100301317
SBB AG;1900100301325
ESG Eisenbahn Service Gesellschaft mbH;1900100301333
Rotterdam Rail Feeding B.V.;1900100301341
Bocholter Eisenbahngesellschaft mbH;1900100301359
Centralbahn AG;1900100301367
CTL Logistics GmbH;1900100301375
ERS Railways B.V.;1900100301383
GfE Ges. für Eisenbahnbetrieb mbH;1900100301391
ÖBB-Personenverkehr AG;1900100301408
InfraLeuna GmbH;1900100301416
Rail 4U - Eisenbahndienstleistungen;1900100301424
Eichholz Eivel GmbH;1900100301432
Cargo Logistik Rail Service GmbH;1900100301440
MEV Eisenbahn-Verkehrsgesellschaft mbH;1900100301458
Traditionsgemeinschaft Bw Halle P e.V.;1900100301466
Rail Cargo Austria AG;1900100301474
LTE Netherlands B.V.;1900100301482
Eisenbahn-Bau- und Betriebsgesellschaft Pressnitztalbahn mbH;1900100301490
ORLEN Kolej sp. z o.o.;1900100301507
TRI Train Rental GmbH;1900100301515
Locon Benelux B.V.;1900100301523
northrail Fahrzeugverwaltungs GmbH;1900100301531
BLS Cargo AG;1900100301549
BayernBahn GmbH;1900100301557
Retrack Germany GmbH;1900100301565
Bahnwelt Betriebs-GmbH;1900100301573
ALSTOM Transportation Germany GmbH;1900100301581
Freightliner DE GmbH;1900100301599
BLG RailTec GmbH;1900100301606
LokoTrain s.r.o.;1900100301614
DB Cargo AG;1900100301622
Falkenberger Eisenbahngesellschaft mbH;1900100301630
SNCF Societé Nationale des Chemins de Fer Français;1900100301648
DB Regio AG;1900100301656
S-Rail GmbH;1900100301664
Steiermarkbahn Transport & Logistik GmbH;1900100301672
Cargo Service GmbH;1900100301680
SNCF Voyages Deutschland GmbH;1900100301698
PKP Intercity S.A.;1900100301705
CD Cargo a.s. Niederlassung Deutschland;1900100301713
Green Cargo AB;1900100301721
SNCB (Société nationale des chemins de fer belges);1900100301739
HGB-Hessische Güterbahn GmbH;1900100301747
Wedler Franz Logistik GmbH & Co. KG;1900100301755
TRIANGULA Logistik GmbH;1900100301763
EURO-EXPRESS Sonderzüge GmbH & Co. KG;1900100301771
Lausitzer Dampflok Club e.V.;1900100301789
EUROPORTE France;1900100301797
Nordliner Gesellschaft für Eisenbahnverkehr mbH;1900100301804
DB Cargo France SAS;1900100301812
BLP Wiebe Logistik GmbH;1900100301820
Bahnlogistik24 GmbH;1900100301838
Bolay & Moser EVU;1900100301846
DB Regio Stuttgart GmbH;1900100301854
BSAS EisenbahnVerkehrs GmbH & Co. KG;1900100301862
Uwe Adam EVU GmbH;1900100301870
Lok-Partner GmbH & Co. KG;1900100301888
Backhaus Consulting Logistics Services;1900100301896
GYSEV Zrt;1900100301903
Historische Eisenbahnfahrzeuge Lübeck e.V.;1900100301911
WESTbahn Management GmbH;1900100301929
Hector Rail GmbH;1900100301937
DB Fernverkehr AG;1900100301945
DB Schenker Rail Scandinavia A/S;1900100301953
Hamburger Rail Service GmbH & Co. KG;1900100301961
EP Cargo Deutschland GmbH;1900100301979
Pro-Lok GmbH;1900100301987
NS Reizigers B.V.;1900100301995
MEG Mitteldeutsche Eisenbahn GmbH;1900100302000
Swiss Rail Traffic AG;1900100302018
WRS Widmer Rail Service AG;1900100302026
BELog Baustoffe- Entsorgung- Logistik GmbH & Co. KG;1900100302034
LEO Express GmbH;1900100302042
UTL Umwelt und Transportlogistik GmbH;1900100302050
Salzland Rail Service GmbH;1900100302068
3-Seenbahn gGmbH;1900100302109
BM Bahndienste GmbH;1900100302125
BBL Logistik GmbH;1900100302133
Fahrzeugwerke Karsdorf GmbH & Co. KG;1900100302141
RBH Logistics GmbH;1900100302167
Train4Train GmbH;1900100302175
Siemens Mobility GmbH;1900100302183
ERC.D GmbH;1900100302191
Arverio Baden-Württemberg GmbH;1900100302208
Zug-Pilot GmbH;1900100302216
AKE-Eisenbahntouristik – Jörg Petry e.K.;1900100302224
STARKENBERGER Güterlogistik GmbH;1900100302232
TrainLog GmbH;1900100302240
Lausitz Energie Bergbau AG;1900100302258
Rennsteigbahn GmbH & Co. KG;1900100302266
smart rail GmbH;1900100302274
vlexx GmbH;1900100302282
