source_table;source_row_id;loco_no;transport_number;actual_departure_ts;actual_arrival_ts;match_reason;catalog_source
raw_locomotivemovement;17330;91806999002-9;451133;2026-05-23 01:00:00;2026-05-23 05:45:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;10812;91806999002-9;456282;2026-05-24 13:53:00;2026-05-24 14:15:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;16431;91806999002-9;456283;2026-05-24 14:50:00;2026-05-24 15:04:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;19857;91806999002-9;457260;2026-05-25 07:32:00;2026-05-25 07:59:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;8325;91806999002-9;457261;2026-05-25 10:46:00;2026-05-25 11:08:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;3449;91806999002-9;457089;2026-05-26 04:55:00;2026-05-26 05:09:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;20494;91806999002-9;457097;2026-05-26 11:31:00;2026-05-26 11:52:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;19829;91806999002-9;451568;2026-05-26 21:40:00;2026-05-26 22:35:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;6411;91806999002-9;458169;2026-05-30 17:21:00;2026-05-30 17:45:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;441;91806999002-9;458383;2026-05-30 18:30:00;2026-05-30 18:43:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;14538;91806999002-9;451503;2026-06-02 08:44:00;2026-06-02 10:20:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;11142;91806999002-9;458402;2026-06-02 16:11:00;2026-06-02 16:25:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;2354;91806999002-9;458405;2026-06-02 17:20:00;2026-06-02 17:33:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;13010;91806999002-9;457969;2026-06-08 11:13:00;2026-06-08 12:57:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;6080;91806999002-9;455819;2026-06-09 08:00:00;2026-06-09 10:00:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;16885;91806999002-9;460275;2026-06-15 13:02:00;2026-06-15 15:10:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;16886;91806999002-9;460275;2026-06-15 15:11:00;2026-06-15 19:58:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;17527;91806999002-9;437635;2026-06-16 10:42:00;2026-06-16 11:32:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;17525;91806999002-9;437635;2026-06-17 07:34:00;2026-06-17 17:12:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;15457;91806999002-9;461394;2026-06-17 11:13:00;2026-06-17 11:28:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;15456;91806999002-9;461394;2026-06-17 11:28:00;2026-06-17 11:28:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;14430;91806999002-9;461397;2026-06-17 13:31:00;2026-06-17 13:47:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;17526;91806999002-9;437635;2026-06-17 17:20:00;2026-06-17 17:40:00;LocomotiveType enthaelt Dummy: Dummy;raw_locomotivemovement.LocomotiveType
raw_locomotivemovement;18925;91850000002-4;451824;2026-05-25 20:00:00;2026-05-25 22:30:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18926;91850000002-4;451824;2026-05-25 22:30:00;2026-05-25 23:30:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18922;91850000002-4;451824;2026-05-25 23:30:00;2026-05-26 12:45:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18923;91850000002-4;451824;2026-05-26 12:45:00;2026-05-26 15:30:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18917;91850000002-4;451824;2026-05-26 15:30:00;2026-05-26 16:15:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18918;91850000002-4;451824;2026-05-26 16:15:00;2026-05-26 16:19:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18919;91850000002-4;451824;2026-05-26 16:19:00;2026-05-26 19:29:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18924;91850000002-4;451824;2026-05-26 19:29:00;2026-05-26 19:47:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18920;91850000002-4;451824;2026-05-26 19:47:00;2026-05-26 20:38:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18921;91850000002-4;451824;2026-05-26 20:38:00;2026-05-26 20:58:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;19193;91850000002-4;451804;2026-05-27 08:25:00;2026-05-27 09:15:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;19199;91850000002-4;451804;2026-05-27 09:15:00;2026-05-27 09:43:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;19197;91850000002-4;451804;2026-05-27 09:43:00;2026-05-27 09:55:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;19198;91850000002-4;451804;2026-05-27 09:55:00;2026-05-27 10:05:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;19196;91850000002-4;451804;2026-05-27 10:05:00;2026-05-27 10:20:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;19194;91850000002-4;451804;2026-05-27 10:20:00;2026-05-27 10:39:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;19195;91850000002-4;451804;2026-05-27 10:39:00;2026-05-27 10:44:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;19200;91850000002-4;451804;2026-05-27 10:44:00;2026-05-27 10:49:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;19204;91850000002-4;451804;2026-05-27 10:49:00;2026-05-27 12:15:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;19202;91850000002-4;451804;2026-05-27 12:15:00;2026-05-28 00:45:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;19203;91850000002-4;451804;2026-05-28 00:45:00;2026-05-28 01:00:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;19201;91850000002-4;451804;2026-05-28 01:45:00;2026-05-28 04:15:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;12580;91850000002-4;451823;2026-05-28 20:00:00;2026-05-28 22:30:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;12578;91850000002-4;451823;2026-05-28 22:30:00;2026-05-28 23:30:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;12581;91850000002-4;451823;2026-05-28 23:30:00;2026-05-29 14:09:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;12577;91850000002-4;451823;2026-05-29 14:09:00;2026-05-29 15:55:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;12572;91850000002-4;451823;2026-05-29 16:04:00;2026-05-29 16:49:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;12573;91850000002-4;451823;2026-05-29 16:49:00;2026-05-29 16:59:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;12574;91850000002-4;451823;2026-05-29 16:59:00;2026-05-29 17:04:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;12579;91850000002-4;451823;2026-05-29 17:04:00;2026-05-29 17:16:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;12575;91850000002-4;451823;2026-05-29 17:16:00;2026-05-29 18:01:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;12576;91850000002-4;451823;2026-05-29 18:01:00;2026-05-29 18:44:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18124;91850000002-4;451805;2026-05-30 08:29:00;2026-05-30 10:15:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18125;91850000002-4;451805;2026-05-30 10:15:00;2026-05-30 10:40:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18126;91850000002-4;451805;2026-05-30 10:40:00;2026-05-30 10:52:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18127;91850000002-4;451805;2026-05-30 10:52:00;2026-05-30 11:02:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18132;91850000002-4;451805;2026-05-30 11:02:00;2026-05-30 11:05:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18128;91850000002-4;451805;2026-05-30 11:06:00;2026-05-30 11:18:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18135;91850000002-4;451805;2026-05-30 11:18:00;2026-05-30 11:27:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18129;91850000002-4;451805;2026-05-30 11:27:00;2026-05-30 11:32:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18133;91850000002-4;451805;2026-05-30 11:32:00;2026-05-30 13:44:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18134;91850000002-4;451805;2026-05-30 13:44:00;2026-05-31 07:14:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18131;91850000002-4;451805;2026-05-31 07:14:00;2026-05-31 08:00:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18130;91850000002-4;451805;2026-05-31 09:44:00;2026-05-31 12:14:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18863;91850000002-4;454183;2026-06-04 20:00:00;2026-06-04 22:30:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18860;91850000002-4;454183;2026-06-04 22:30:00;2026-06-04 23:30:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18861;91850000002-4;454183;2026-06-04 23:30:00;2026-06-05 14:00:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18864;91850000002-4;454183;2026-06-05 14:00:00;2026-06-05 15:55:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18855;91850000002-4;454183;2026-06-05 15:55:00;2026-06-05 16:37:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18856;91850000002-4;454183;2026-06-05 16:37:00;2026-06-05 16:37:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18857;91850000002-4;454183;2026-06-05 16:37:00;2026-06-05 16:44:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18862;91850000002-4;454183;2026-06-05 16:44:00;2026-06-05 16:52:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18858;91850000002-4;454183;2026-06-05 17:02:00;2026-06-05 18:07:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;18859;91850000002-4;454183;2026-06-05 18:41:00;2026-06-05 19:08:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;5083;91850000002-4;454162;2026-06-06 10:25:00;2026-06-06 10:57:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;5084;91850000002-4;454162;2026-06-06 10:57:00;2026-06-06 11:16:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;5085;91850000002-4;454162;2026-06-06 11:16:00;2026-06-06 11:32:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;5086;91850000002-4;454162;2026-06-06 11:32:00;2026-06-06 11:41:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;5087;91850000002-4;454162;2026-06-06 11:41:00;2026-06-06 11:50:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
raw_locomotivemovement;5094;91850000002-4;454162;2026-06-06 11:41:00;2026-06-06 11:41:00;Bekannte Planungs-/Dummy-Loknummer;data/01_mapping/dummy_locomotives.csv
