transport_number;cal_start_country;cal_end_country;cal_entry_count_home;cal_exit_count_home;cal_route_type_home
450621;NL;DE;1;0;Einfahrt
451117;PL;DE;1;0;Einfahrt
451308;CH;DE;0;0;Kein Bezug
452324;SK;SK;0;0;Kein Bezug
456679;PL;PL;0;0;Kein Bezug
457189;BE;NL;0;0;Kein Bezug
457566;IT;IT;0;0;Kein Bezug
457585;PL;CZ;0;0;Kein Bezug
457884;DE;DE;0;0;Inland
457923;DE;DE;0;0;Inland
458067;IT;IT;0;0;Kein Bezug
458815;PL;PL;0;0;Kein Bezug
459142;BG;TR;0;0;Kein Bezug
459298;PL;PL;0;0;Kein Bezug
459602;CZ;CZ;0;0;Kein Bezug
460241;PL;PL;0;0;Kein Bezug
461317;NL;NL;0;0;Kein Bezug
461333;NL;NL;0;0;Kein Bezug
454272;DE;AT;0;0;Kein Bezug
454463;DE;NL;0;1;Ausfahrt
455224;DE;DE;0;0;Inland
456290;AT;CH;0;0;Kein Bezug
457222;IT;IT;0;0;Kein Bezug
458296;NL;NL;0;0;Kein Bezug
458537;IT;IT;0;0;Kein Bezug
458803;AT;SI;0;0;Kein Bezug
459177;NL;NL;0;0;Kein Bezug
459189;NL;NL;0;0;Kein Bezug
459815;NL;NL;0;0;Kein Bezug
460238;NL;NL;0;0;Kein Bezug
460377;NL;NL;0;0;Kein Bezug
460570;CZ;CZ;0;0;Kein Bezug
460665;AT;AT;0;0;Kein Bezug
454497;PL;NL;1;1;Passiert (Transit)
454596;NL;NL;0;0;Kein Bezug
454677;NL;NL;0;0;Kein Bezug
454683;DE;NL;0;0;Kein Bezug
455120;NL;NL;0;0;Kein Bezug
455238;DE;DE;0;0;Inland
457476;PL;PL;0;0;Kein Bezug
457480;PL;PL;0;0;Kein Bezug
458198;NL;NL;0;0;Kein Bezug
458402;PL;PL;0;0;Kein Bezug
458524;NL;NL;0;0;Kein Bezug
458616;NL;NL;0;0;Kein Bezug
459806;NL;NL;0;0;Kein Bezug
450434;RO;BE;0;1;Komplex (mehrfach/Schleife)
450603;IT;DE;0;0;Kein Bezug
454211;CH;CH;0;0;Kein Bezug
456373;SI;SI;0;0;Kein Bezug
457213;PL;PL;0;0;Kein Bezug
457359;PL;PL;0;0;Kein Bezug
457544;RO;RO;0;0;Kein Bezug
457886;DE;DE;0;0;Inland
459010;SK;SK;0;0;Kein Bezug
459036;NL;NL;0;0;Kein Bezug
459471;DE;AT;0;1;Ausfahrt
450534;DE;NL;0;0;Kein Bezug
454543;DE;NL;0;1;Ausfahrt
454702;NL;PL;1;1;Passiert (Transit)
457588;AT;AT;0;0;Kein Bezug
458285;SK;SK;0;0;Kein Bezug
458546;AT;AT;0;0;Kein Bezug
458930;NL;NL;0;0;Kein Bezug
459694;AT;SK;0;0;Kein Bezug
459761;RO;RO;0;0;Kein Bezug
460044;SK;SK;0;0;Kein Bezug
460804;CH;CH;0;0;Kein Bezug
461832;NL;NL;0;0;Kein Bezug
450547;NL;DE;0;0;Kein Bezug
450591;CH;NL;0;0;Kein Bezug
453083;PL;DE;1;0;Einfahrt
455306;DE;SK;0;0;Kein Bezug
457174;NL;NL;0;0;Kein Bezug
457553;AT;CZ;0;0;Kein Bezug
457621;PL;PL;0;0;Kein Bezug
458038;HU;HU;0;0;Kein Bezug
458279;NL;NL;0;0;Kein Bezug
458962;NL;NL;0;0;Kein Bezug
459817;BG;BG;0;0;Kein Bezug
460179;NL;NL;0;0;Kein Bezug
446205;IT;NL;0;1;Komplex (mehrfach/Schleife)
451319;SI;CH;0;0;Kein Bezug
451510;PL;NL;1;1;Passiert (Transit)
457355;DE;DE;0;0;Inland
457447;PL;DE;1;0;Einfahrt
457619;SK;PL;0;0;Kein Bezug
457674;HU;HU;0;0;Kein Bezug
457895;DE;DE;0;0;Inland
458128;PL;PL;0;0;Kein Bezug
458259;NL;NL;0;0;Kein Bezug
458443;HU;SI;0;0;Kein Bezug
458553;HU;HU;0;0;Kein Bezug
458604;PL;PL;0;0;Kein Bezug
459123;DE;PL;0;0;Kein Bezug
459246;NL;NL;0;0;Kein Bezug
