run_id;severity;rule_id;rule_group;loco_no;transport_number;performing_ru;row_type;movement_sequence_no;period_start_utc;period_end_utc;message;suggested_action;status;source_table;source_row_id;overlap_with_transport_number
RUN_20260621_191259;INFO;R003;TIME_QUALITY;91806186944-5;455022;LTE NL - LTE Netherlands B.V.;MOVEMENT;115;2026-06-20 19:24:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;6426;
RUN_20260621_191259;INFO;R003;TIME_QUALITY;91806185318-3;459735;LTE DE - LTE Germany GmbH;MOVEMENT;31;2026-06-20 20:42:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;4029;
RUN_20260621_191259;MANUAL_REVIEW;R003;TIME_QUALITY;91806193272-2;455964;LTE DE - LTE Germany GmbH;MOVEMENT;194;2026-06-20 17:53:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;6836;
RUN_20260621_191259;MANUAL_REVIEW;R003;TIME_QUALITY;91806193377-9;459341;LTE DE - LTE Germany GmbH;MOVEMENT;134;2026-06-20 07:00:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;12616;
RUN_20260621_191259;MANUAL_REVIEW;R003;TIME_QUALITY;91806193515-4;458061;LTE NL - LTE Netherlands B.V.;MOVEMENT;134;2026-06-20 17:54:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;6768;
RUN_20260621_191259;MANUAL_REVIEW;R003;TIME_QUALITY;91515370164-3;455104;LTE NL - LTE Netherlands B.V.;MOVEMENT;122;2026-06-20 15:52:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;14981;
RUN_20260621_191259;MANUAL_REVIEW;R003;TIME_QUALITY;91806186945-2;458890;LTE DE - LTE Germany GmbH;MOVEMENT;123;2026-06-19 22:37:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;12762;
RUN_20260621_191259;INFO;R003;TIME_QUALITY;91806193257-3;460817;LTE NL - LTE Netherlands B.V.;MOVEMENT;160;2026-06-20 21:26:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;966;
RUN_20260621_191259;INFO;R003;TIME_QUALITY;91515370068-6;453550;LTE DE - LTE Germany GmbH;MOVEMENT;33;2026-06-20 20:53:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;11360;
RUN_20260621_191259;MANUAL_REVIEW;R003;TIME_QUALITY;91806186369-5;455028;LTE NL - LTE Netherlands B.V.;MOVEMENT;146;2026-06-16 11:20:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;203;
RUN_20260621_191259;MANUAL_REVIEW;R003;TIME_QUALITY;91806193232-6;460514;LTE NL - LTE Netherlands B.V.;MOVEMENT;158;2026-06-20 17:47:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;8968;
RUN_20260621_191259;MANUAL_REVIEW;R003;TIME_QUALITY;91806193634-3;458890;LTE DE - LTE Germany GmbH;MOVEMENT;69;2026-06-19 22:37:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;12754;
RUN_20260621_191259;MANUAL_REVIEW;R003;TIME_QUALITY;91806193933-9;455101;LTE NL - LTE Netherlands B.V.;MOVEMENT;142;2026-06-20 17:46:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;7341;
RUN_20260621_191259;MANUAL_REVIEW;R003;TIME_QUALITY;91806186942-9;455108;LTE NL - LTE Netherlands B.V.;MOVEMENT;103;2026-06-20 17:01:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;4285;
RUN_20260621_191259;MANUAL_REVIEW;R003;TIME_QUALITY;91806186943-7;458943;LTE DE - LTE Germany GmbH;MOVEMENT;124;2026-06-20 14:36:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;2431;
RUN_20260621_191259;MANUAL_REVIEW;R003;TIME_QUALITY;91806186943-7;458943;LTE DE - LTE Germany GmbH;MOVEMENT;125;2026-06-20 15:07:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;2430;
RUN_20260621_191259;MANUAL_REVIEW;R003;TIME_QUALITY;91850000010-7;458172;LTE CH - LTE Schweiz GmbH;MOVEMENT;56;2026-06-19 21:37:00;;ActualArrival fehlt oder ist ungültig.;Zeitwert in RailCube prüfen und ergänzen. Danach lokale Prüfung neu ausführen.;open;raw_locomotivemovement;5923;
RUN_20260621_191259;INFO;R003;TIME_QUALITY;91806193804-2;455131;LTE NL - LTE Netherlands B.V.;MOVEMENT;36;2026-06-20 20:15:00;;ActualArrival fehlt oder ist ungültig.;Nur dokumentieren. Datensatz wird nicht als Fehler gezählt.;info;raw_locomotivemovement;2550;
RUN_20260621_191259;ERROR;R004;TIME_QUALITY;91887186221-8;455015;LTE NL - LTE Netherlands B.V.;MOVEMENT;130;2026-06-15 20:31:00;2026-06-15 20:27:00;ActualDeparture liegt nach ActualArrival.;Zeitintervall fachlich korrigieren.;open;raw_locomotivemovement;3636;
RUN_20260621_191259;ERROR;R010;TIMELINE;91806193044-5;454078;;GAP;7;2026-05-26 19:53:00;2026-06-02 22:00:00;Keine Nutzung im Zeitraum von 26.05.2026 19:53:00 bis 02.06.2026 22:00:00. Das entspricht 7 Tage 2 Stunden 7 Minuten. Vorherige Destination: Karlsruhe Gbf. Nächster Origin: Freiburg (Breisgau) Gbf.;Ortskette mit Unterbrechung über 8 Stunden fachlich prüfen.;open;raw_locomotivemovement;8346;
RUN_20260621_191259;ERROR;R010;TIMELINE;91806193232-6;445645;;GAP;53;2026-05-31 10:45:00;2026-05-31 20:50:00;Keine Nutzung im Zeitraum von 31.05.2026 10:45:00 bis 31.05.2026 20:50:00. Das entspricht 10 Stunden 5 Minuten. Vorherige Destination: Krems a.d.Donau-Vorbf (in Kr). Nächster Origin: Waalhaven Zuid.;Ortskette mit Unterbrechung über 8 Stunden fachlich prüfen.;open;raw_locomotivemovement;12390;
RUN_20260621_191259;ERROR;R010;TIMELINE;91806193232-6;457167;;GAP;126;2026-06-14 18:50:00;2026-06-15 03:07:00;Keine Nutzung im Zeitraum von 14.06.2026 18:50:00 bis 15.06.2026 03:07:00. Das entspricht 8 Stunden 17 Minuten. Vorherige Destination: Brzeg. Nächster Origin: Kijfhoek zuid.;Ortskette mit Unterbrechung über 8 Stunden fachlich prüfen.;open;raw_locomotivemovement;3406;
RUN_20260621_191259;ERROR;R010;TIMELINE;91806193232-6;458059;;GAP;145;2026-06-18 22:15:00;2026-06-19 07:30:00;Keine Nutzung im Zeitraum von 18.06.2026 22:15:00 bis 19.06.2026 07:30:00. Das entspricht 9 Stunden 15 Minuten. Vorherige Destination: Waalhaven Zuid. Nächster Origin: Brzeg.;Ortskette mit Unterbrechung über 8 Stunden fachlich prüfen.;open;raw_locomotivemovement;2991;
RUN_20260621_191259;ERROR;R010;TIMELINE;91806193427-2;454030;;GAP;1;2026-05-23 15:00:00;2026-05-24 12:00:00;Keine Nutzung im Zeitraum von 23.05.2026 15:00:00 bis 24.05.2026 12:00:00. Das entspricht 21 Stunden 0 Minuten. Vorherige Destination: Čadca. Nächster Origin: Kijfhoek zuid.;Ortskette mit Unterbrechung über 8 Stunden fachlich prüfen.;open;raw_locomotivemovement;17677;
RUN_20260621_191259;ERROR;R010;TIMELINE;91806193427-2;455014;;GAP;169;2026-06-19 22:34:00;2026-06-20 10:30:00;Keine Nutzung im Zeitraum von 19.06.2026 22:34:00 bis 20.06.2026 10:30:00. Das entspricht 11 Stunden 56 Minuten. Vorherige Destination: Waalhaven Zuid. Nächster Origin: Ludwigshafen (Rhein) BASF Ubf.;Ortskette mit Unterbrechung über 8 Stunden fachlich prüfen.;open;raw_locomotivemovement;12439;
RUN_20260621_191259;ERROR;R010;TIMELINE;91854475435-4;454403;;GAP;5;2026-06-06 01:54:00;2026-06-06 11:45:00;Keine Nutzung im Zeitraum von 06.06.2026 01:54:00 bis 06.06.2026 11:45:00. Das entspricht 9 Stunden 51 Minuten. Vorherige Destination: Maasvlakte West. Nächster Origin: Basel Grenze Muttenz.;Ortskette mit Unterbrechung über 8 Stunden fachlich prüfen.;open;raw_locomotivemovement;21030;
RUN_20260621_191259;ERROR;R010;TIMELINE;91515370178-3;453118;;GAP;17;2026-05-30 20:20:00;2026-05-31 09:30:00;Keine Nutzung im Zeitraum von 30.05.2026 20:20:00 bis 31.05.2026 09:30:00. Das entspricht 13 Stunden 10 Minuten. Vorherige Destination: Pruszków. Nächster Origin: Duisburg-Ruhrort Hafen.;Ortskette mit Unterbrechung über 8 Stunden fachlich prüfen.;open;raw_locomotivemovement;3877;
RUN_20260621_191259;ERROR;R010;TIMELINE;91515370178-3;454639;;GAP;68;2026-06-09 19:27:00;2026-06-10 11:26:00;Keine Nutzung im Zeitraum von 09.06.2026 19:27:00 bis 10.06.2026 11:26:00. Das entspricht 15 Stunden 59 Minuten. Vorherige Destination: Rzepin. Nächster Origin: Botlek.;Ortskette mit Unterbrechung über 8 Stunden fachlich prüfen.;open;raw_locomotivemovement;1549;
