run_id;loco_no;coverage_date;exact_overlap_seconds;exact_overlap_minutes;overlap_span_count
RUN_20260621_191259;91806185346-4;2026-06-20;1320;22.0;1
RUN_20260621_191259;91806193262-3;2026-06-20;720;12.0;1
RUN_20260621_191259;90802159259-1;2026-06-19;4260;71.0;6
RUN_20260621_191259;91806185346-4;2026-06-19;4380;73.0;1
RUN_20260621_191259;91807193883-4;2026-06-19;240;4.0;1
RUN_20260621_191259;90802019402-7;2026-06-18;60;1.0;1
RUN_20260621_191259;90802159259-1;2026-06-18;3600;60.0;4
RUN_20260621_191259;91806193868-7;2026-06-18;300;5.0;1
RUN_20260621_191259;91806185310-0;2026-06-17;60;1.0;1
RUN_20260621_191259;91806193697-0;2026-06-17;420;7.0;1
RUN_20260621_191259;90802159259-1;2026-06-16;2460;41.0;2
RUN_20260621_191259;91806189804-8;2026-06-16;2940;49.0;1
RUN_20260621_191259;91806193697-0;2026-06-16;1800;30.0;3
RUN_20260621_191259;91806186369-5;2026-06-15;2340;39.0;1
RUN_20260621_191259;91806189806-3;2026-06-15;7200;120.0;1
RUN_20260621_191259;91807193908-9;2026-06-15;2340;39.0;1
RUN_20260621_191259;90802159259-1;2026-06-14;2580;43.0;2
RUN_20260621_191259;90802159259-1;2026-06-13;900;15.0;2
RUN_20260621_191259;91806189804-8;2026-06-13;6240;104.0;5
RUN_20260621_191259;90802159259-1;2026-06-12;18240;304.0;10
RUN_20260621_191259;91806189806-3;2026-06-12;1200;20.0;2
RUN_20260621_191259;90802019402-7;2026-06-11;5040;84.0;3
RUN_20260621_191259;90802159259-1;2026-06-11;6660;111.0;8
RUN_20260621_191259;91806185310-0;2026-06-11;3600;60.0;3
RUN_20260621_191259;90802019402-7;2026-06-10;7200;120.0;3
RUN_20260621_191259;90802159256-7;2026-06-10;1200;20.0;1
RUN_20260621_191259;90802159259-1;2026-06-10;11340;189.0;5
RUN_20260621_191259;91806185310-0;2026-06-10;2700;45.0;2
RUN_20260621_191259;91806185680-6;2026-06-10;7200;120.0;1
RUN_20260621_191259;90802019402-7;2026-06-09;3600;60.0;2
RUN_20260621_191259;90802159259-1;2026-06-09;12600;210.0;12
RUN_20260621_191259;91806189202-5;2026-06-09;1140;19.0;3
RUN_20260621_191259;90802019402-7;2026-06-08;180;3.0;1
RUN_20260621_191259;90802159259-1;2026-06-08;13200;220.0;6
RUN_20260621_191259;91806192999-1;2026-06-08;660;11.0;2
RUN_20260621_191259;91806193627-7;2026-06-08;2940;49.0;1
RUN_20260621_191259;90802159259-1;2026-06-05;7200;120.0;3
RUN_20260621_191259;91806189202-5;2026-06-05;1800;30.0;1
RUN_20260621_191259;91850000010-7;2026-06-05;13320;222.0;4
RUN_20260621_191259;90802019402-7;2026-06-04;360;6.0;1
RUN_20260621_191259;90802159259-1;2026-06-04;1740;29.0;3
RUN_20260621_191259;90802019402-7;2026-06-03;540;9.0;1
RUN_20260621_191259;90802159259-1;2026-06-03;2940;49.0;2
RUN_20260621_191259;91806189804-8;2026-06-03;60;1.0;1
RUN_20260621_191259;91806189804-8;2026-06-02;1020;17.0;2
RUN_20260621_191259;91806189806-3;2026-06-02;900;15.0;1
RUN_20260621_191259;91806193803-4;2026-06-02;5580;93.0;4
RUN_20260621_191259;90802159259-1;2026-05-31;14400;240.0;4
RUN_20260621_191259;91806189806-3;2026-05-31;1080;18.0;2
RUN_20260621_191259;91806193299-5;2026-05-30;1500;25.0;2
RUN_20260621_191259;91806193796-0;2026-05-30;1140;19.0;2
RUN_20260621_191259;90802019402-7;2026-05-29;540;9.0;2
RUN_20260621_191259;91806193115-3;2026-05-29;660;11.0;1
RUN_20260621_191259;91807193805-7;2026-05-29;300;5.0;1
RUN_20260621_191259;90802019402-7;2026-05-28;540;9.0;2
RUN_20260621_191259;91806192999-1;2026-05-28;3900;65.0;3
RUN_20260621_191259;90802019402-7;2026-05-27;3360;56.0;3
RUN_20260621_191259;90802159259-1;2026-05-26;2880;48.0;4
RUN_20260621_191259;90802159259-1;2026-05-25;2700;45.0;2
RUN_20260621_191259;91807193230-8;2026-05-25;22320;372.0;5
RUN_20260621_191259;91807193886-7;2026-05-25;1620;27.0;1
RUN_20260621_191259;90802159259-1;2026-05-24;8880;148.0;5
RUN_20260621_191259;91807193886-7;2026-05-24;24240;404.0;4
RUN_20260621_191259;91806189806-3;2026-05-23;3120;52.0;4
RUN_20260621_191259;91806193115-3;2026-05-23;1080;18.0;2
RUN_20260621_191259;91806193299-5;2026-05-23;1380;23.0;3
RUN_20260621_191259;90802159259-1;2026-05-22;4200;70.0;3
RUN_20260621_191259;91806193796-0;2026-05-22;420;7.0;1
