transport_number;cal_seqnum;origin_country_iso;destination_country_iso;cal_border_event_home;source_table;source_row_id
457043;4;HU;HU;Ausland;raw_transportdetail;1
457043;2;HU;HU;Ausland;raw_transportdetail;2
457043;7;HU;HU;Ausland;raw_transportdetail;3
457043;3;HU;HU;Ausland;raw_transportdetail;4
457043;5;HU;HU;Ausland;raw_transportdetail;5
457043;1;HU;HU;Ausland;raw_transportdetail;6
457043;6;HU;HU;Ausland;raw_transportdetail;7
460211;1;NL;NL;Ausland;raw_transportdetail;8
460438;1;NL;NL;Ausland;raw_transportdetail;9
459456;1;CH;CH;Ausland;raw_transportdetail;10
459456;2;CH;CH;Ausland;raw_transportdetail;11
453552;16;DE;DE;Inland;raw_transportdetail;12
453552;15;DE;DE;Inland;raw_transportdetail;13
453552;3;PL;PL;Ausland;raw_transportdetail;14
453552;10;DE;DE;Inland;raw_transportdetail;15
453552;2;PL;PL;Ausland;raw_transportdetail;16
453552;9;DE;DE;Inland;raw_transportdetail;17
453552;13;DE;DE;Inland;raw_transportdetail;18
453552;5;DE;DE;Inland;raw_transportdetail;19
453552;11;DE;DE;Inland;raw_transportdetail;20
453552;4;DE;DE;Inland;raw_transportdetail;21
453552;7;DE;DE;Inland;raw_transportdetail;22
453552;6;DE;DE;Inland;raw_transportdetail;23
453552;14;DE;DE;Inland;raw_transportdetail;24
453552;1;PL;PL;Ausland;raw_transportdetail;25
453552;12;DE;DE;Inland;raw_transportdetail;26
453552;8;DE;DE;Inland;raw_transportdetail;27
453889;7;CZ;CZ;Ausland;raw_transportdetail;28
453889;19;AT;AT;Ausland;raw_transportdetail;29
453889;11;SK;SK;Ausland;raw_transportdetail;30
453889;23;AT;AT;Ausland;raw_transportdetail;31
453889;15;SK;SK;Ausland;raw_transportdetail;32
453889;9;CZ;CZ;Ausland;raw_transportdetail;33
453889;5;PL;PL;Ausland;raw_transportdetail;34
453889;14;SK;SK;Ausland;raw_transportdetail;35
453889;16;SK;SK;Ausland;raw_transportdetail;36
453889;1;PL;PL;Ausland;raw_transportdetail;37
453889;25;SI;SI;Ausland;raw_transportdetail;38
453889;2;PL;PL;Ausland;raw_transportdetail;39
453889;18;AT;AT;Ausland;raw_transportdetail;40
453889;22;AT;AT;Ausland;raw_transportdetail;41
453889;17;SK;SK;Ausland;raw_transportdetail;42
453889;12;SK;SK;Ausland;raw_transportdetail;43
453889;24;AT;AT;Ausland;raw_transportdetail;44
453889;8;CZ;CZ;Ausland;raw_transportdetail;45
453889;13;SK;SK;Ausland;raw_transportdetail;46
453889;6;PL;PL;Ausland;raw_transportdetail;47
453889;20;AT;AT;Ausland;raw_transportdetail;48
453889;3;PL;PL;Ausland;raw_transportdetail;49
453889;10;SK;SK;Ausland;raw_transportdetail;50
453889;4;PL;PL;Ausland;raw_transportdetail;51
453889;21;AT;AT;Ausland;raw_transportdetail;52
460281;2;HU;HU;Ausland;raw_transportdetail;53
460281;1;HU;HU;Ausland;raw_transportdetail;54
